text,label
"and what Windows gives to UA, doesn't exactly map to pixels",0
...I've been told,0
"zakim, call 227a9a17d1db3f8e5c71a150345fb2a6",0
"ok, 227a9a17d1db3f8e5c71a150345fb2a6; the call is being made",0
Team_(webapps)18:20Z has now started,0
+Shepazu,0
+[Microsoft],0
+[IPcaller],0
"17f9b78129866dff3cbd228a8d985fbf, [IPcaller] is Olli_Pettay",0
+Olli_Pettay; got it,0
http://dvcs.w3.org/hg/webevents/raw-file/tip/touchevents.html,0
scribenick: 5059ecaa4fb3ab1183f267bf1613010e,0
0c8dce20967cf80665e60051b8ab2d3c:  the wheel delta should be double or float,0
travis: for fractional pages/lines,0
"travis: float would be better, doubles are a bit big",0
5059ecaa4fb3ab1183f267bf1613010e: agreed,0
0c8dce20967cf80665e60051b8ab2d3c:  float is fine,0
"RESOLUTION: change deltaX, deltaY, deltaZ to float for WheelEvent",0
"227a9a17d1db3f8e5c71a150345fb2a6:  ok, done",0
"0c8dce20967cf80665e60051b8ab2d3c:  for mutation events replacement, jresig's proposal doesn't handle the most important event DOMCharacterDataModified",0
topic: mutation events replacement,0
"0c8dce20967cf80665e60051b8ab2d3c:  for mutation events replacement, jresig's proposal doesn't handle the most important event DOMCharacterDataModified",0
"s/zakim, call 227a9a17d1db3f8e5c71a150345fb2a6/Topic: wheel events/",0
"jross: agreed, it's a shortfall of his proposal....but I think his proposal could be improved to support it",0
http://www.w3.org/2008/webapps/wiki/Selector-based_Mutation_Events,0
http://www.w3.org/2008/webapps/wiki/MutationReplacement,0
5059ecaa4fb3ab1183f267bf1613010e: doesn't have resig's proposal on there,0
227a9a17d1db3f8e5c71a150345fb2a6: we should add that,0
https://github.com/jeresig/nodelist,0
0c8dce20967cf80665e60051b8ab2d3c:  we should all read these proposals and talk about this next week,0
"227a9a17d1db3f8e5c71a150345fb2a6: this is not really dom 3 events, so we should move forward with a replacement but perhaps in a different conf",0
5059ecaa4fb3ab1183f267bf1613010e: i'll send out mail to get the conversation started,0
topics: dom 3 events issues,0
topic: dom 3 events issues,0
ISSUE-121?,0
getting information on ISSUE-121,0
ISSUE-121 -- Consider generalizing the 'textInput' event to cover all user-initiated changes -- open,0
http://www.w3.org/2008/webapps/track/issues/121,0
http://www.w3.org/2008/webapps/track/products/2,0
5059ecaa4fb3ab1183f267bf1613010e: i'll mail out the updates we should make to the issues,0
ISSUE-122?,0
getting information on ISSUE-122,0
ISSUE-122 -- Consider adding 'mousewheel' again -- open,0
http://www.w3.org/2008/webapps/track/issues/122,0
227a9a17d1db3f8e5c71a150345fb2a6: does anyone want to add mousewheel again?,0
5059ecaa4fb3ab1183f267bf1613010e: no,0
0c8dce20967cf80665e60051b8ab2d3c: no,0
RESOLUTION:  we will not add mousewheel back,0
Im a 17 F Lesbian. Im looking for girls only,0
joe?,0
is your name anna?,0
"yea, why?",0
ZOMFG,0
I CAN&apos;T BELIEVE THIS!,0
THIS CAN NOT BE TRUE,0
look,0
why?,0
anna,0
"me , sydney and joe are looking for you",0
joe loves you and is desperate to find you,0
i know you&apos;re looking for sydney,0
but you hafta find joe,0
but joe is kinda mean,0
cuz sydney os trying to fid him in order to help him find you,0
"i know, he is regreting all that he did",0
will he change?,0
he is another person now,0
he is desperate,0
he alredy did,0
you,0
what he did was pretty bad,0
have,0
to,0
him,0
find,0
i know...,0
he is regreting it from the deepest part of his heart,0
he almost killed himself because of you,0
"But can he change, I cant see him doing that",0
really???,0
but eddie (he&apos;s in vocation now) stoped him,0
YEAH!],0
he loves you,0
jeez youcan always count on eddie,0
well tell him to tell me,0
tell who to tell you what?,0
who do you think?,0
JOE,0
joe?,0
lol,0
BUT HE IS TRYING TO DO IT!,0
HE&apos;S LOOKING FOR YOU!,0
If we can talk face to face Ill be able to see hes really changed,0
okay,0
but he javes to find you first D:,0
in order to talk face to face with you,0
yea,0
but im not saying yes,0
its hard to regain trust,0
....does that mean you don&apos;t want to see him?,0
IDK,0
"believe me, he changed",0
"IM AXL, YOU KNOW THAT IF I SAY SOMETHING , I MEAN IT!",0
he,0
changed...,0
"Well we need to rebuild trust, so he needs to talk to me",0
IN ORDER TO TALK TO YOU HE NEEDS TO FIND YOU!,0
"listen I got to go, this is all too much for me right now",0
NO,0
WAIT,0
so is anyone alive here?,0
burp,0
lintlock: not me,0
"i got apache compield with mod _sll and most toher modules, just compiled mkd jk against it with aspx, and put all that junk in a script, have tomcat 5517 and jdk 1508 installed, got env varibales going, im almost ready",0
how does it going?,0
wish i could just goto sleep,0
why not,0
school,0
i dont know if i should stay and pretend to goto a study session,0
or go home,0
could some one give me a hand on a tomcat+apache issue that I'm having ?,0
"I followed these instruction on setting it up <a href=""http://www.meritonlinesystems.com/docs/apache_tomcat_redhat.html"">http://www.meritonlinesystems.com/docs/apache_tomcat_redhat.html</a>",0
for some reason I get not much on my logs and also when I do get something is just a GET /servlet/HelloWorld HTTP/1.1&quot; 400,0
and what exactly is the problem?,0
nothing gets loaded,0
all I get is a blank page,0
and my tomcat logs show nothing,0
what happens if you call the HelloWorld servlet directly,0
i mean directly in tomcat,0
I got change the configuration to do so,0
but I know when I first installed tomcat and had it running standalone on 8080 all the servlets and jsp examples worked,0
why did you removed port 8080 either way?,0
I just another sample.war from apache and that doesn't work either i get the same 400 error,0
and you tried the same war file with a standalone tomcat?,0
dvayanu: the instructions I was following made me create a new server.xml file,0
no i will now,0
oh in understand,0
yeah it works fine on the 8080,0
now I got redo my apache configs for the virtual server that is using mod_jk,0
but keep both,0
you mean 8005 8009 and 8080,0
i mean keep port 8080 open,0
ok,0
"btw, apache2?",0
yes,0
"btw when I go to localhost:8080 where is that directed to , do you know ? I want to add that same location to my vhost documentroot",0
hmm /var/log/apache2/error.log is empty too?,0
yeah,0
"btorch: i'm not an expert like jasonb, but i pasted you parts of my apache2.conf",0
"<a href=""http://rafb.net/paste/results/LZxvFV98.html"">http://rafb.net/paste/results/LZxvFV98.html</a>",0
that works,0
thank you,0
i'm not so sure it's 100% correct,0
alright I made some changes on my apache,0
got the DocRoot to be the same as the catalina root,0
it kind of works !,0
cool,0
the only thing that does not seem to work is calling by servlets,0
hello.jsp works,0
do you have invoker enabled?,0
what is that ?,0
well the proper way to invoke a servlet is to define a mapping in the web.xml,0
which is located in your webapp/WEB-INF folder,0
well the only that I did now was to set my apache vhost root to point to /opt/apache-tomcat/webapps,0
when you call the servlet via servlet/className you are actually calling the invoker servlet,0
that is automatically redirected to the tomcat main page,0
which is defined in the web.xml in the conf dir of your tomcat,0
do oyu have a webapp?,0
from there I can try to test the jsp examples but the servlets don't work .. both work fine if I go through the 8080,0
yes,0
what I'm testing now is the default the comes with tomcat under its webapps directory,0
"btorch: check your web.xml, the invoker servlet is disabled by default, cause its a security hole (small one)",0
its like it can't read the web.xml under the WEB-INF,0
ok,0
btorch: are you invoking a mapped servlet?,0
got it the main conf/web.xml you mean righ t?,0
there is an invoker section that is commented out,0
btorch: what path are you loading exactly,0
for the servlet ?,0
"<a href=""http://jakarta/servlets-examples/servlet/HelloWorldExample"">http://jakarta/servlets-examples/servlet/HelloWorldExample</a>",0
then you need the invoker i think,0
hey thank you very much for your help but I got go now ... I figure the rest out later on,0
later,0
is it wrong if i like gay porn?,0
hello?,0
yes,0
"Hi I am trying to launch SOAP inside tomcat, and I get the following error from the SOAP admin",0
org.apache.jasper.JasperException: Unable to compile class for JSP  Generated servlet error: Only a type can be imported. org.apache.soap.Constants resolves to a package,0
any ideas?,0
you dont include a needed package that your build is pinting to,0
obviously,0
the problem is I cant find any intructions for SOAP and Tomcat 5.x,0
I dont think its tomcat so much as java implementation,0
;),0
www.prevayler.org,0
use this,0
what is that?,0
"I am trying to use soap, not a database..",0
totic: you are on windows?,0
Debian,0
"totic: search the tomcats bugzilla, there were some discussion on the user list and in bugzilla (issues.apache.org) some time ago",0
should I use a different version of Tomcat?,0
"it seems that you have both, a class named ...soap.Constants and a package soap.constants....",0
i'm not sure that this bug is fixed though,0
it must be marked as jasper bug,0
An error occurred at line: 5 in the jsp file: /admin/list.jsp Generated servlet error: Constants.CONFIGFILENAME cannot be resolved to a type,0
that will probably be the problem,0
the same i mean,0
to run a soap webservice do I need all the different Tomcats or just the core?,0
is Tomcat 5 just buggy at this point?,0
"<a href=""http://issues.apache.org/bugzilla/show_bug.cgi?id=34587"">http://issues.apache.org/bugzilla/show_bug.cgi?id=34587</a>",0
check this out,0
JDTCompiler can not resolve package org.foo when class org.Foo exists,0
sounds like your bug,0
"&quot;Please reopen a new bug report when you have concrete details, rather than guessing and then withdrawing the guess ;)&quot;",0
thats there answer,0
i would post it to the user list,0
<email/>,0
email it to them?,0
you know how the mailing list works? :-),0
yes...,0
"there are a lot of smart people on the tomcat user list, maybe the problem is something else. just be polite and provide enough details :-)",0
brb,0
~tomcat,0
"tomcat is, like, at <a href=""http://jakarta.apache.org/tomcat"">http://jakarta.apache.org/tomcat</a>",0
yay the bot is working,0
~velocity,0
dont fail me now bot,0
~mysql,0
"totic: in the meantime, the jsp with the error is your",0
right?,0
~lintlock,0
"SQL (Structured Query Language) database server. URL: <a href=""http://www.mysql.com/"">http://www.mysql.com/</a>",0
methinks lintlock is ;P,0
So how do I know which elements of Tomcat do I need for a webservice such as SOAP? CORE+ Deployer+ Embedded?,0
core,0
~eclipse,0
"i heard eclipse is a kind of universal tool platform - an open extensible IDE for anything and nothing in particular.  <a href=""http://www.eclipse.org/"">http://www.eclipse.org/</a>",0
embedded is for an app with tomcat inside,0
~java,0
"java is probably at (Link: <a href=""http://www.blackdown.org"">http://www.blackdown.org</a>)<a href=""http://www.blackdown.org"">http://www.blackdown.org</a> or at (Link: <a href=""http://www.javasoft.com"">http://www.javasoft.com</a>)<a href=""http://www.javasoft.com"">http://www.javasoft.com</a> or at (Link: <a href=""http://www.savaje.com"">http://www.savaje.com</a>)<a href=""http://www.savaje.com"">http://www.savaje.com</a> or at (Link: <a href=""http://www.pocketlinux.com"">http://www.pocketlinux.com</a>)<a href=""http://www.pocketlinux.com"">http://www.pocketlinux.com</a> or at (Link: <a href=""http://java.sun.com"">http://java.sun.com</a>)<a href=""http://java.sun.com"">http://java.sun.com</a> or at <a href=""http://www.insignia.com"">http://www.insignia.com</a>, or see the ...",0
cool,0
what kind of thing is xml,0
its not a language,0
yes it is,0
extensible markup language,0
thanks,0
i was thinking c++ and java,0
"lintlock: out of scope, but java is an imperative programming language, and xml is a declarative language, like sql is",0
got ya,0
just trying to get this poster presntation right,0
alright,0
see you all later,0
hey!,0
Heyyyy,0
whats up,0
What&apos;s up.,0
.,0
not much!,0
you,0
you?,0
you?!?!?,0
YOU!?!?!?!,0
&quot;ugh,0
FUCKIN YOU!!!?????!?,0
Nm,0
R,0
niceeeee,0
U,0
A,0
Girl or boy.,0
im whatever you want me to be ;),0
I think you a guy.,0
i think youre wrong,0
ive got a nice big vagina for ya,0
Your a girl.?,0
mmmm you want it,0
awww yeahhhh,0
He&apos;ll noo slut,0
hey!!,1
hi!,0
how are you feeling?,0
a little better what are u doing?,1
i was just listening to some music,0
i have to go to bed soon,0
i have school tomorrow,0
yea i thought u did i just woke and checked to see if u came on and ur here!! :-*,1
:-*,0
so what did u do today?,1
did chores,0
sounds like fun lol,1
not,0
lol,0
what did you do?,0
washed some cloths and started feeling bad nd layed down and fell alseep for 6 hours lol,1
wow,0
lol,0
long nap,0
yea just a little,1
did you think about me today?,0
yes sweetie i think about u everyday !!,1
:D,0
is ur mom alseep?,1
no,0
she is in her room but not asleep,0
oh ic,1
lol im yawning,0
you are probably wide awake,0
lol,0
yea a little lol,1
:D,0
cory...? i wanna see u do u think that is bad?,1
no i dont think it is bad,0
why?,0
because i do not for sex or anything like that i just wanna see u i feel if i dont then i might lose u or something i know that sounds stupid,1
you wont lose me,0
:D,0
mom and her bf go out of town every month for a few days,0
maybe the next time they go out of town,0
ok,1
if you really want to,0
i do really bad! do u?,1
yea,0
u sure?,1
yea im sure,0
are you?,0
lol i have never been sure about anything else before in my life!,1
:D,0
i didnt scare u last night with the things i said did i ? its just when i drink i get really friendly if u know what i mean lol,1
no you didnt scare me,0
you really want me like that?,0
yea i do but i dont want i to do anything u dont wanna do,1
u*,1
yea,0
how do u feel about it?,1
i think it would be nice,0
but it is up to you,0
lol why is everything up to me? i want u to wanna do what ever u want to !,1
lol,0
well all i know is that im falling for u really fast!,1
you are?,0
yea i am falling really really fast!,1
wow,0
why u say wow?,1
no on ever said anything like that to me before,0
:D,0
well im kinda glad no one has so i can be the first to tell u this things because i mean everything i say to u!!!,1
you are so sweet,0
so are u i love everything about u and i dont want u to ever forget that!,1
ok,0
>:D< :-*,1
:-:-,0
well i dont want u to go but i think u need to goto bed ???,1
wait!,0
looking for something,0
what?,1
a video,0
oh ok :),1
cant find what i am looking for,0
what are u looking for?,1
amy lees idea ofa love song,0
:D,0
i like both of those songs!!!!,1
cool,0
okay i am going to bed now,0
>:D<,0
:-:-:-:-*,0
think about me tommroww?,1
yes!,0
ok!,1
talk to you later,0
night,0
:-*,0
good night sweetie!!,1
LOL. I wonder where Dmitry will find Developers crazy enough to implement his HTML6 proposals,0
mark baker's opinions are coming into focus as something quite sensible,0
"i don't really agree with him about wanting the DOM attributes and content attributes in different sections, but i don't think it'd be that hard to do for most attributes",0
"for some it'd be difficult, though, like video",0
"But wouldn't a stylesheet also handle that, for any separation within the same document?",0
"well he wants to see the definitions as far as i can tell, just clearly separated from the content attributes",0
"yeah, that could be something reasonable to do for some elements",0
"the WebSocket and Structured client-side storage sections are reasonably self-contained, i guess i could split them out around last call time",0
would have to do something about MessageEvent,0
maybe we can get that into DOM3 Events,0
"65325d50b2e25aca54bc871b89758c9c_: btw, did you have any opinions on chaals' reply to my comments on the progress events stuff?",0
it would be helpful to know what would be most helpful for implementations,0
since if his style is better then i should change html5 to match,0
69b0d3dfe919a6b860a9fac82de52a7e: I'll take a look,0
thx,0
ok bbl.,0
http://golem.ph.utexas.edu/~distler/blog/archives/001842.html :),0
hi,1
i guess your not on,1
be back at 10,1
I'm here,0
are u there?,0
ok see u at 10,0
you there,1
am now,0
are u?,0
hi :),0
hey m or f?,0
f,0
and you?,0
cool m,0
umm im 15 hbu?,0
"hahah im 17, soon to be 18",0
&lt;3,0
cool,0
where are you from?,0
haha i know ;),0
america hbu?,0
im from norway :),0
cool umm wat do u want to tlk about?,0
im open for everything ;) &lt;3,0
"sex, politics, you name it :P",0
im up for a challenge ;),0
cool umm how big r ur breasts?,0
i think im an american c-cup?,0
and how large is your dick? ;),0
umm hold on ill measure,0
is it hard? ;) &lt;3,0
yupp,0
im like 6 1/2,0
hello?,0
wow thats BIG for a 15 year old :O,0
you are sure that your 15 rigt? :P,0
ya well i turn 15 in a month :/,0
OMG!,0
youre 14?,0
ya,0
with a 6 1/2 inch dick?,0
"wow, the girls must really LOVE you! ;)",0
ya soo hav u had sex?,0
hello?,0
"haha, yeah, a few one nights stands, and i have a guy-friend who i have sex with on a regular basis, were just not bf and gf if u understand :P",0
"and you, you little stud ? ;) &lt;3",0
ha no probably wont for a lil while all i do is masterbate,0
"seriously, if the girls knew what you were hiding in your pants, you wouldnt get a moments rest!",0
i would certainly like a taste of that myself ;),0
ya i kno....at wuld u do if we wer in a hotel room for the nite?,0
i would be your slave,0
i would wear a silk thong and nothing else,0
wat u meen?,0
ooooo,0
wat else?,0
you would get to do whatever you wnated to me ;),0
i would probably tear of your pants,0
trying to get to that lovely cock of yours,0
i would sick it like a lollipop,0
ya ya,0
and bop it like the whore i am,0
oooo how wuld we do it?,0
you would be forceful,0
you would slap me acrossh my face and call me a bitc,0
"you would throw me at the floor, tearing my thong of",0
and fuck me hard in my moist pussy,0
you would pound me like noone ever has,0
and i would scream as my pusyy would contract around your huge penis penetate me,0
over and over,0
hold on,0
srry,0
i would have several orgasm as you pull my head up,0
no prob ;),0
man sounds fun,0
haha i know,0
you got any scenarioes as well? ;),0
well we wuld do it in the shower then u wuld suck my dick as i cum all over ur amazing breasts and u wont be able to walk straight for a week,0
would you fuck my ass?,0
of course i wuld hold ur boobs and u wuld go up and down on my penis,0
no ideas?,0
man this sucks :(,0
hmm,0
"<a href=""http://cgi.ebay.com.au/Cisco-ASA-5510-Adaptive-Security-Appliance_W0QQitemZ160006939689QQihZ006QQcategoryZ70813QQrdZ1QQcmdZViewItem"">http://cgi.ebay.com.au/Cisco-ASA-5510-Adaptive-Security-Appliance_W0QQitemZ160006939689QQihZ006QQcategoryZ70813QQrdZ1QQcmdZViewItem</a>",0
haha,0
"We are selling this device because we are unable to maintain or configure it correctly; in short it is too complex for our needs. It was purchased at end of financial year in June 2005 and has not been used since. Item will be supplied with Factory Configurations. It is in as &quot;new condition&quot;, tested and working.",0
cryp-: you good with Cisco PIX firewalls?,0
"if I want the value of $_GET['step'] but I want to increase it by one and keep the original value, can I use a reference?",0
like &amp;$_GET['step']++,0
or should I just do $_GET['step'] + 1,0
"I want to keep the original value intact, just use the &quot;next&quot; number available (+1)",0
tek_: the latter,0
the former would most likely result in an error,0
That's what I was thinking,0
What is the point in a reference? or &amp; ?,0
?,0
&amp;$var,0
What about it?,0
Its purpose?,0
"$var_one = 'asdf', $var_two = &amp;$var_one?",0
yes,0
It allows you to create an alias to a particular value.,0
Do you ever use it?,0
Only in the context of functions,0
in &quot;echo '&lt;span class=&quot;gensmall&quot;&gt;a'.$COUNT.' views.&lt;/span&gt;';&quot; how does $COUNT get echoed before the span?,0
"if I have a function that needs to return multiple values, I'll pass in references.",0
"sometimes, sometimes its fine",0
blinks: it shouldn't,0
